rowname,2.5%,mean,97.5%,median,sd,measure
Full,-0.18,-0.13,-0.07,-0.13,0.03,mean
Partial,-0.51,-0.29,-0.12,-0.28,0.1,mean
"Full, no DEVTA",-0.36,-0.26,-0.17,-0.26,0.05,mean
"Partial, no DEVTA",-0.53,-0.32,-0.15,-0.31,0.1,mean
Full,0,0,0,0,NA,sd
Partial,0.09,0.25,0.51,0.23,0.11,sd
"Full, no DEVTA",0,0,0,0,NA,sd
"Partial, no DEVTA",0.03,0.23,0.51,0.21,0.12,sd
Full,-0.18,-0.13,-0.07,-0.13,0.03,ppc
Partial,-0.91,-0.29,0.26,-0.27,0.29,ppc
"Full, no DEVTA",-0.36,-0.26,-0.17,-0.26,0.05,ppc
"Partial, no DEVTA",-0.92,-0.32,0.23,-0.3,0.28,ppc
